iter	QueryRMSE	MRR:top=5	AverageGain:top=5
0	0.190725343	0.1025596131	0.1954727364
1	0.1904975487	0.1691429048	0.2371935968
2	0.1902716012	0.1739869935	0.2479489745
3	0.1900576924	0.1733366683	0.2491495748
4	0.18983889	0.1883858596	0.2618309155
5	0.1896412368	0.191862598	0.2668584292
6	0.1894362368	0.1902868101	0.2708854427
7	0.1892422052	0.1907870602	0.2725362681
8	0.1890539486	0.1985325996	0.2750125063
9	0.1888869446	0.1995080874	0.2758629315
10	0.188724657	0.2036685009	0.2774637319
11	0.1885652272	0.2057945639	0.2775887944
12	0.1884225458	0.2032266133	0.2766383192
13	0.188263385	0.2054777389	0.278064032
14	0.1881088237	0.2043355011	0.2777638819
15	0.1879578191	0.2076288144	0.2800150075
16	0.18781749	0.2113556778	0.2811905953
17	0.1876747834	0.2109388027	0.2825412706
18	0.187539319	0.2111889278	0.2829164582
19	0.1874069989	0.2116141404	0.2829164582
20	0.1872778497	0.2115307654	0.2830415208
21	0.187163136	0.2114307154	0.2827663832
22	0.1870396358	0.2112472903	0.2835917959
23	0.1869239264	0.2115307654	0.283841921
24	0.1868079967	0.2114807404	0.2836418209
25	0.1867010714	0.2130315158	0.2836418209
26	0.1865946668	0.2124395531	0.2832166083
27	0.1864869921	0.2136568284	0.2844922461
28	0.1863840253	0.2140570285	0.2843671836
29	0.1862903587	0.2145656161	0.2847923962
30	0.1861977912	0.213948641	0.2846173087
31	0.1861090482	0.2143655161	0.2847673837
32	0.1860264675	0.2150658663	0.2852426213
33	0.1859414232	0.2156328164	0.2849924962
34	0.1858554962	0.2155994664	0.2857178589
35	0.1857785802	0.2164248791	0.2858429215
36	0.1856964217	0.2172919793	0.286018009
37	0.1856183369	0.2176254794	0.2859429715
38	0.1855425572	0.2172586293	0.2859429715
39	0.1854636681	0.2171419043	0.2859929965
40	0.1853892848	0.2175421044	0.2864932466
41	0.185321988	0.2175504419	0.2866183092
42	0.1852542639	0.2186343172	0.2868434217
43	0.1851863886	0.2178422545	0.2871685843
44	0.1851016619	0.219943305	0.2873186593
45	0.1850287918	0.2209104552	0.2879689845
46	0.1849649036	0.2207770552	0.2887943972
47	0.1849017689	0.2212773053	0.2882941471
48	0.1848160326	0.2234617309	0.2896698349
49	0.1847552552	0.2221944305	0.2892196098
50	0.1846937103	0.2232783058	0.2892696348
51	0.184621844	0.2244872436	0.28991996
52	0.1845643172	0.2257712189	0.29002001
53	0.1845021962	0.2258295815	0.2908704352
54	0.1844444784	0.225937969	0.2909954977
55	0.1843884005	0.2272969818	0.2917458729
56	0.1843306027	0.2284392196	0.2921710855
57	0.1842739896	0.2284725696	0.2924712356
58	0.1842127097	0.2275721194	0.2918709355
59	0.1841563984	0.2275554444	0.2921210605
60	0.1841044142	0.2273303318	0.2918709355
61	0.1840526969	0.2271218943	0.2922461231
62	0.1840036708	0.2271135568	0.2922461231
63	0.1839493431	0.2276805069	0.2928714357
64	0.1838987113	0.2278389195	0.2933466733
65	0.1838549464	0.2267216942	0.2935717859
66	0.1838016256	0.2281223945	0.294122061
67	0.1837549006	0.228097382	0.2942221111
68	0.1837051937	0.2283224946	0.2939969985
69	0.1836553634	0.2290978823	0.294122061
70	0.1836184004	0.2287143572	0.294072036
71	0.1835793457	0.2291645823	0.2944472236
72	0.1835272912	0.2304735701	0.2953476738
73	0.1834849396	0.2305819576	0.2951725863
74	0.1834452487	0.2293646823	0.2950975488
75	0.1834051121	0.230090045	0.2948224112
76	0.1833617599	0.2307903952	0.2950225113
77	0.1833161917	0.2317992329	0.2951725863
78	0.1832727209	0.2321577455	0.2953476738
79	0.1832286039	0.232066033	0.2955727864
80	0.1831804262	0.2335584459	0.2960730365
81	0.183140065	0.2342671336	0.295997999
82	0.18309774	0.2345422711	0.296198099
83	0.1830542096	0.2345756211	0.2966483242
84	0.1830144779	0.233858596	0.2966983492
85	0.1829757367	0.2334500584	0.2966233117
86	0.1829347282	0.2333249958	0.2969234617
87	0.1828940374	0.2325579456	0.2974487244
88	0.1828599308	0.2329914957	0.2974487244
89	0.182827704	0.2335834584	0.2977488744
90	0.1827895174	0.2337418709	0.2977738869
91	0.1827558611	0.2336668334	0.297873937
92	0.1827200803	0.233925296	0.298174087
93	0.1826742552	0.2340003335	0.297823912
94	0.1826369258	0.2342921461	0.2983241621
95	0.182599902	0.2347423712	0.2984742371
96	0.1825641771	0.2353093213	0.2990245123
97	0.1825297666	0.2363348341	0.2991495748
98	0.1825053476	0.2370268468	0.2991745873
99	0.1824775622	0.2361430715	0.2992996498
100	0.1824419392	0.2362764716	0.2991495748
101	0.1824078885	0.2359262965	0.2992996498
102	0.1823758784	0.2364432216	0.2990995498
103	0.1823470687	0.2356761714	0.2988744372
104	0.1823172329	0.2356178089	0.2994247124
105	0.1822892523	0.2362347841	0.2995247624
106	0.1822608058	0.2362597966	0.2996748374
107	0.1822293519	0.2362597966	0.2993746873
108	0.1821935966	0.2365766216	0.2998249125
109	0.182164957	0.2368184092	0.2997248624
110	0.1821384743	0.236084709	0.2998749375
111	0.1821059685	0.2366599967	0.299849925
112	0.1820796958	0.2365849591	0.3001750875
113	0.182050585	0.2375937969	0.3003251626
114	0.1820309835	0.2376021344	0.3005252626
115	0.1820037732	0.2382191096	0.3008254127
116	0.1819600477	0.2397532099	0.3011755878
117	0.1819339691	0.2396781724	0.3013506753
118	0.1819083674	0.24012006	0.3013256628
119	0.1818795774	0.2393946973	0.3017008504
120	0.1818508699	0.2404118726	0.3016758379
121	0.1818298176	0.2410621978	0.3019509755
122	0.1818001108	0.2414290479	0.3017008504
123	0.1817737932	0.242029348	0.3018009005
124	0.1817497454	0.2424545606	0.3020510255
125	0.1817219915	0.2432382858	0.3018509255
126	0.1816956343	0.2431549108	0.3019509755
127	0.1816702764	0.2436885109	0.3022261131
128	0.1816441909	0.2433633483	0.3022011006
129	0.1816265544	0.2430048358	0.3023511756
130	0.1816069469	0.2443054861	0.3024012006
131	0.1815907723	0.2444722361	0.3024262131
132	0.1815657739	0.2444889111	0.3023761881
133	0.1815461061	0.2451809238	0.3023261631
134	0.1815253475	0.2449141237	0.3024262131
135	0.1815069929	0.2455477739	0.3027263632
136	0.1814849688	0.2453476738	0.3029514757
137	0.1814623163	0.2452809738	0.3029514757
138	0.1814445039	0.2452476238	0.3029764882
139	0.1814204016	0.246148074	0.3033016508
140	0.1813971455	0.2471652493	0.3038269135
141	0.1813810905	0.2470902118	0.3038269135
142	0.1813563688	0.2471402368	0.3036518259
143	0.1813335894	0.2469151242	0.3038269135
144	0.1813090811	0.2472736368	0.3038769385
145	0.1812857744	0.2476738369	0.3039269635
146	0.181272057	0.2477988994	0.304102051
147	0.1812475433	0.2488410872	0.3046273137
148	0.1812293619	0.2488494247	0.3046023012
149	0.181209366	0.2497665499	0.3044772386
150	0.1811895618	0.2498082375	0.3045022511
151	0.1811700195	0.2501334	0.3046523262
152	0.1811456175	0.2500750375	0.3047523762
153	0.1811307683	0.2494080374	0.3048024012
154	0.1811069603	0.2497415374	0.3051525763
155	0.1810917513	0.2497582124	0.3051525763
156	0.1810688933	0.249883275	0.3053526763
157	0.1810552112	0.2494663999	0.3056278139
158	0.1810386259	0.2500083375	0.3057028514
159	0.1810102203	0.2502167751	0.3057778889
160	0.1809897485	0.2504835751	0.3058529265
161	0.1809669992	0.2510421878	0.3062281141
162	0.180946061	0.2525679506	0.3065532766
163	0.1809224223	0.2530098383	0.3065032516
164	0.1809020978	0.2536685009	0.3066033017
165	0.1808759199	0.2536101384	0.3066533267
166	0.1808524478	0.2540270135	0.3066283142
167	0.1808333614	0.2545856261	0.3069284642
168	0.1808162572	0.2548107387	0.3072286143
169	0.1808018358	0.2552859763	0.3073536768
170	0.1807848827	0.2546606637	0.3071535768
171	0.1807700667	0.2552026013	0.3070535268
172	0.1807555677	0.2554360514	0.3071285643
