iter	Passed	Remaining
0	211	422597
1	251	251036
2	300	199784
3	350	174798
4	407	162725
5	456	151744
6	507	144451
7	555	138285
8	594	131566
9	636	126609
10	675	122207
11	716	118634
12	763	116726
13	808	114706
14	852	112779
15	892	110623
16	930	108511
17	968	106610
18	1008	105167
19	1054	104441
20	1112	104854
21	1165	104747
22	1208	103879
23	1267	104345
24	1306	103212
25	1348	102363
26	1385	101265
27	1422	100194
28	1459	99188
29	1497	98308
30	1538	97721
31	1575	96923
32	1614	96245
33	1658	95925
34	1703	95636
35	1741	95014
36	1793	95137
37	1844	95230
38	1896	95359
39	1951	95626
40	2009	95998
41	2060	96069
42	2111	96110
43	2170	96502
44	2217	96328
45	2265	96249
46	2330	96819
47	2377	96688
48	2427	96664
49	2477	96639
50	2527	96593
51	2582	96737
52	2638	96923
53	2687	96844
54	2735	96732
55	2775	96332
56	2812	95875
57	2853	95542
58	2893	95184
59	2931	94799
60	2969	94383
61	3006	93991
62	3048	93720
63	3086	93354
64	3125	93042
65	3165	92773
66	3214	92739
67	3253	92450
68	3297	92281
69	3334	91925
70	3375	91717
71	3413	91404
72	3475	91746
73	3513	91447
74	3549	91095
75	3584	90756
76	3626	90568
77	3668	90390
78	3704	90087
79	3742	89813
80	3779	89542
81	3836	89738
82	3874	89483
83	3911	89208
84	3948	88951
85	3985	88698
86	4024	88484
87	4067	88375
88	4110	88259
89	4147	88027
90	4184	87786
91	4223	87598
92	4263	87417
93	4301	87213
94	4335	86947
95	4373	86742
96	4420	86722
97	4457	86502
98	4494	86299
99	4539	86241
100	4582	86153
101	4618	85937
102	4657	85782
103	4693	85571
104	4729	85348
105	4767	85177
106	4809	85090
107	4845	84885
108	4885	84764
109	4925	84632
110	4964	84489
111	4999	84271
112	5048	84300
113	5084	84111
114	5122	83958
115	5163	83859
116	5209	83839
117	5244	83637
118	5283	83511
119	5318	83327
120	5353	83139
121	5392	83001
122	5434	82924
123	5469	82753
124	5508	82629
125	5544	82460
126	5582	82329
127	5635	82422
128	5679	82367
129	5716	82234
130	5756	82122
131	5792	81965
132	5840	81986
133	5891	82036
134	5944	82117
135	5998	82213
136	6049	82259
137	6104	82367
138	6152	82373
139	6202	82409
140	6254	82460
141	6300	82444
142	6349	82455
143	6397	82450
144	6444	82441
145	6494	82477
146	6546	82523
147	6597	82563
148	6646	82566
149	6696	82590
150	6745	82603
151	6794	82601
152	6855	82754
153	6902	82742
154	6951	82740
155	6998	82721
156	7049	82749
157	7095	82724
158	7147	82761
159	7199	82792
160	7249	82805
161	7296	82785
162	7342	82745
163	7388	82719
164	7434	82684
165	7481	82660
166	7529	82639
167	7584	82708
168	7630	82675
169	7680	82681
170	7729	82668
171	7777	82659
172	7828	82672
173	7877	82669
174	7928	82685
175	7979	82697
176	8033	82738
177	8082	82731
178	8139	82806
179	8192	82836
180	8241	82824
181	8294	82856
182	8349	82901
183	8403	82936
184	8453	82939
185	8502	82919
186	8551	82906
187	8601	82904
188	8648	82874
189	8695	82839
190	8744	82823
191	8792	82795
192	8844	82811
193	8897	82830
194	8945	82801
195	8995	82796
196	9042	82756
197	9087	82709
198	9135	82677
199	9184	82658
200	9230	82615
201	9286	82660
202	9341	82690
203	9400	82763
204	9447	82724
205	9493	82678
206	9540	82639
207	9593	82648
208	9640	82616
209	9686	82567
210	9744	82622
211	9793	82601
212	9848	82627
213	9883	82488
214	9922	82376
215	9963	82291
216	10001	82177
217	10037	82047
218	10073	81923
219	10110	81800
220	10153	81736
221	10196	81666
222	10231	81527
223	10283	81531
224	10318	81398
225	10361	81329
226	10396	81201
227	10431	81074
228	10467	80951
229	10504	80837
230	10543	80739
231	10578	80618
232	10621	80548
233	10663	80480
234	10700	80368
235	10742	80292
236	10781	80204
237	10818	80095
238	10869	80088
239	10905	79972
240	10943	79872
241	10980	79769
242	11020	79680
243	11054	79554
244	11103	79538
245	11147	79481
246	11184	79376
