iter	Passed	Remaining
0	11	22489
1	18	18179
2	25	16717
3	31	15945
4	38	15465
5	48	16195
6	55	15804
7	62	15519
8	68	15258
9	75	15074
10	85	15444
11	92	15267
12	99	15139
13	105	15003
14	112	14901
15	122	15169
16	129	15059
17	135	14964
18	142	14869
19	149	14793
20	159	15019
21	166	14990
22	175	15043
23	181	14972
24	188	14909
25	198	15104
26	205	15037
27	212	14995
28	219	14948
29	226	14891
30	236	15021
31	243	14968
32	250	14924
33	257	14868
34	263	14818
35	273	14934
36	280	14890
37	288	14879
38	295	14876
39	303	14862
40	313	14993
41	321	14984
42	329	14980
43	336	14937
44	342	14897
45	352	14989
46	359	14953
47	366	14918
48	374	14903
49	381	14886
50	391	14961
51	398	14943
52	405	14906
53	412	14877
54	419	14844
55	429	14924
56	436	14887
57	443	14857
58	450	14818
59	458	14818
60	469	14912
61	476	14891
62	483	14860
63	490	14827
64	497	14797
65	507	14857
66	513	14825
67	520	14796
68	527	14764
69	534	14737
70	544	14783
71	551	14755
72	557	14726
73	564	14695
74	571	14665
75	581	14710
76	587	14683
77	594	14653
78	601	14627
79	608	14597
80	617	14636
81	624	14608
82	631	14581
83	637	14552
84	644	14525
85	654	14562
86	661	14538
87	668	14517
88	674	14491
89	681	14467
90	691	14504
91	698	14479
92	704	14454
93	711	14426
94	718	14405
95	728	14439
96	734	14412
97	741	14389
98	748	14368
99	755	14346
100	764	14377
101	772	14366
102	778	14346
103	786	14333
104	793	14315
105	802	14345
106	809	14325
107	816	14301
108	823	14282
109	829	14259
110	839	14291
111	846	14268
112	853	14248
113	860	14229
114	866	14209
115	876	14238
116	883	14218
117	890	14197
118	897	14179
119	903	14160
120	913	14186
121	920	14166
122	927	14146
123	933	14127
124	940	14109
125	950	14137
126	957	14119
127	963	14098
128	970	14078
129	977	14059
130	986	14080
131	993	14059
132	1000	14043
133	1007	14024
134	1013	14006
135	1023	14029
136	1030	14011
137	1037	13992
138	1043	13974
139	1050	13956
140	1060	13981
141	1067	13964
142	1074	13949
143	1081	13933
144	1087	13916
145	1097	13936
146	1104	13919
147	1111	13903
148	1117	13885
149	1124	13870
150	1134	13888
151	1141	13875
152	1148	13863
153	1155	13853
154	1163	13843
155	1174	13881
156	1181	13866
157	1188	13853
158	1195	13841
159	1202	13829
160	1212	13849
161	1219	13836
162	1226	13826
163	1233	13812
164	1240	13800
165	1250	13818
166	1257	13804
167	1264	13791
168	1271	13779
169	1278	13766
170	1288	13785
171	1295	13772
172	1302	13759
173	1310	13748
174	1317	13736
175	1327	13756
176	1334	13745
177	1341	13728
178	1347	13711
179	1354	13696
180	1364	13712
181	1371	13697
182	1378	13683
183	1384	13667
184	1391	13654
185	1401	13668
186	1408	13655
187	1415	13640
188	1421	13625
189	1428	13608
190	1438	13621
191	1445	13607
192	1451	13594
193	1458	13579
194	1465	13564
195	1475	13577
196	1481	13562
197	1488	13547
198	1495	13532
199	1502	13519
200	1511	13531
201	1518	13517
202	1525	13503
203	1532	13488
204	1538	13473
205	1548	13488
206	1555	13475
207	1562	13461
208	1569	13446
209	1575	13433
210	1585	13446
211	1592	13432
212	1600	13425
213	1607	13417
214	1615	13409
215	1625	13429
216	1632	13416
217	1639	13403
218	1646	13390
219	1653	13377
220	1663	13388
221	1670	13375
222	1676	13362
223	1683	13348
224	1690	13335
225	1700	13344
226	1706	13330
227	1713	13316
228	1719	13301
229	1726	13287
230	1736	13296
231	1742	13282
232	1749	13268
233	1756	13254
234	1763	13242
235	1772	13251
236	1780	13244
237	1787	13233
238	1794	13222
239	1801	13208
240	1810	13217
241	1817	13204
242	1824	13190
243	1830	13176
244	1837	13163
245	1847	13170
246	1853	13157
247	1860	13145
248	1867	13132
249	1874	13119
250	1883	13125
251	1890	13111
252	1896	13097
253	1903	13084
254	1910	13071
255	1920	13080
256	1926	13068
257	1933	13055
258	1940	13043
259	1947	13030
260	1956	13036
261	1963	13023
262	1969	13010
263	1976	12999
264	1983	12988
265	1993	12996
266	2000	12984
267	2007	12973
268	2014	12961
269	2021	12950
270	2030	12957
271	2037	12945
272	2044	12933
273	2051	12922
274	2058	12910
275	2067	12916
276	2074	12904
277	2081	12891
278	2087	12879
279	2094	12867
280	2104	12872
281	2110	12858
282	2117	12847
283	2124	12835
284	2130	12822
285	2140	12827
286	2147	12815
287	2153	12803
288	2160	12791
289	2168	12787
290	2178	12794
291	2186	12786
292	2192	12774
293	2199	12763
294	2206	12751
295	2215	12755
296	2222	12744
297	2229	12732
298	2236	12721
299	2243	12710
300	2252	12714
301	2259	12702
302	2265	12690
303	2272	12678
304	2279	12666
305	2288	12670
306	2295	12659
307	2302	12649
308	2309	12638
309	2316	12627
310	2326	12636
311	2333	12625
312	2340	12614
313	2347	12603
314	2354	12592
315	2363	12598
316	2370	12586
317	2377	12575
318	2384	12566
319	2391	12555
320	2402	12564
321	2409	12557
322	2417	12550
323	2424	12542
324	2431	12530
325	2440	12534
326	2447	12523
327	2454	12512
328	2461	12501
329	2468	12490
330	2477	12493
331	2484	12483
332	2491	12472
333	2498	12461
334	2504	12449
335	2514	12452
336	2521	12441
337	2527	12430
338	2534	12419
339	2541	12409
340	2551	12412
341	2558	12401
342	2564	12390
343	2571	12380
344	2578	12370
345	2588	12375
346	2595	12364
347	2602	12354
348	2609	12343
349	2616	12333
350	2625	12336
351	2632	12324
352	2639	12313
353	2645	12302
354	2652	12293
355	2662	12294
356	2669	12285
357	2676	12275
358	2683	12265
359	2690	12254
360	2699	12256
361	2706	12245
362	2713	12234
363	2719	12223
364	2726	12212
365	2736	12215
366	2742	12204
367	2749	12193
368	2756	12183
369	2763	12174
370	2773	12179
371	2780	12170
372	2788	12163
373	2795	12153
374	2802	12142
375	2811	12143
376	2818	12132
377	2824	12121
378	2831	12112
379	2838	12102
380	2848	12103
381	2855	12093
382	2861	12082
383	2868	12073
384	2875	12062
385	2885	12064
386	2892	12054
387	2898	12044
388	2905	12033
389	2912	12023
390	2921	12024
391	2928	12013
392	2935	12002
393	2941	11991
394	2949	11982
395	2959	11985
396	2966	11977
397	2973	11968
398	2980	11960
399	2987	11951
400	2997	11954
401	3005	11946
402	3012	11936
403	3019	11926
404	3026	11917
405	3036	11919
406	3043	11910
407	3050	11901
408	3057	11893
409	3064	11884
410	3074	11884
411	3080	11875
412	3087	11865
413	3094	11855
414	3102	11847
415	3111	11848
416	3118	11838
417	3125	11829
418	3132	11819
419	3139	11809
420	3148	11810
421	3155	11800
422	3163	11794
423	3170	11784
424	3177	11775
425	3187	11778
426	3195	11770
427	3202	11761
428	3209	11751
429	3215	11741
430	3225	11742
431	3232	11731
432	3238	11721
433	3245	11710
434	3252	11700
435	3261	11700
436	3268	11690
437	3275	11680
438	3282	11670
439	3288	11660
440	3298	11660
441	3305	11651
442	3312	11642
443	3319	11632
444	3326	11623
445	3336	11624
446	3342	11613
447	3349	11603
448	3356	11593
449	3363	11584
450	3373	11585
451	3380	11575
452	3386	11565
453	3393	11554
454	3399	11544
455	3409	11545
456	3416	11535
457	3423	11525
458	3429	11515
459	3436	11505
460	3446	11504
461	3452	11494
462	3459	11485
463	3466	11475
464	3473	11464
465	3482	11464
466	3489	11456
467	3496	11446
468	3503	11436
469	3510	11426
470	3519	11425
471	3526	11416
472	3533	11407
473	3540	11397
474	3547	11387
475	3556	11388
476	3564	11379
477	3570	11369
478	3577	11359
479	3584	11350
480	3593	11349
481	3600	11340
482	3607	11330
483	3614	11320
484	3621	11311
485	3630	11310
486	3637	11300
487	3643	11290
488	3650	11280
489	3657	11270
490	3667	11270
491	3673	11260
492	3680	11250
493	3687	11240
494	3693	11231
495	3703	11230
496	3710	11220
497	3717	11211
498	3723	11201
499	3730	11191
500	3740	11190
501	3746	11181
502	3753	11171
503	3760	11161
504	3766	11151
505	3776	11150
506	3783	11140
507	3790	11131
508	3805	11148
509	3814	11144
510	3827	11153
511	3836	11148
512	3844	11142
513	3851	11134
514	3858	11125
515	3868	11125
516	3875	11115
517	3881	11106
518	3888	11096
519	3895	11087
520	3905	11086
521	3912	11078
522	3919	11070
523	3926	11061
524	3933	11051
525	3943	11050
526	3950	11041
527	3957	11033
528	3964	11024
529	3971	11014
530	3981	11013
531	3987	11003
532	3994	10994
533	4001	10986
534	4008	10976
535	4018	10977
536	4025	10967
537	4032	10958
538	4039	10949
539	4046	10941
540	4056	10939
541	4063	10931
542	4070	10921
543	4077	10912
544	4084	10903
545	4093	10901
546	4101	10894
547	4107	10884
548	4115	10876
549	4122	10867
550	4132	10867
551	4140	10860
552	4147	10853
553	4154	10844
554	4162	10837
555	4172	10837
556	4180	10830
557	4187	10822
558	4195	10814
559	4202	10805
560	4211	10803
561	4218	10794
562	4226	10786
563	4233	10778
564	4240	10769
565	4250	10768
566	4257	10759
567	4264	10751
568	4271	10741
569	4278	10733
570	4287	10730
571	4295	10723
572	4302	10714
573	4309	10706
574	4316	10698
575	4326	10695
576	4333	10687
577	4340	10678
578	4347	10669
579	4354	10660
580	4364	10659
581	4371	10650
582	4378	10642
583	4386	10635
584	4393	10627
585	4403	10626
586	4410	10617
587	4418	10609
588	4424	10600
589	4432	10592
590	4442	10590
591	4449	10582
592	4456	10573
593	4463	10566
594	4470	10556
595	4480	10555
596	4487	10545
597	4494	10537
598	4501	10528
599	4508	10519
600	4518	10517
601	4525	10509
602	4532	10501
603	4539	10492
604	4547	10484
605	4556	10482
606	4564	10475
607	4571	10465
608	4578	10458
609	4585	10448
610	4595	10447
611	4602	10438
612	4609	10430
613	4616	10421
614	4623	10412
615	4634	10411
616	4641	10403
617	4648	10395
618	4655	10386
619	4662	10378
620	4672	10375
621	4679	10367
622	4686	10358
623	4693	10350
624	4700	10341
625	4710	10339
626	4717	10330
627	4724	10321
628	4731	10313
629	4738	10303
630	4748	10302
631	4754	10292
632	4762	10284
633	4769	10275
634	4777	10268
635	4786	10265
636	4793	10257
637	4801	10250
638	4809	10242
639	4815	10233
640	4825	10231
641	4832	10221
642	4839	10213
643	4847	10205
644	4853	10197
645	4864	10195
646	4871	10186
647	4878	10179
648	4885	10169
649	4892	10162
650	4902	10159
651	4909	10151
652	4916	10142
653	4923	10133
654	4930	10124
655	4940	10121
656	4947	10113
657	4953	10103
658	4961	10096
659	4968	10086
660	4978	10085
661	4985	10076
662	4993	10068
663	4999	10059
664	5006	10051
665	5017	10049
666	5024	10041
667	5031	10033
668	5038	10023
669	5045	10015
670	5055	10012
671	5063	10005
672	5069	9996
673	5076	9987
674	5083	9978
675	5092	9974
676	5099	9965
677	5106	9956
678	5113	9947
679	5119	9938
680	5129	9934
681	5135	9925
682	5142	9916
683	5149	9907
684	5157	9900
685	5166	9896
686	5173	9887
687	5180	9878
688	5187	9870
689	5194	9862
690	5204	9859
691	5210	9849
692	5217	9840
693	5224	9831
694	5231	9822
695	5241	9819
696	5247	9809
697	5254	9801
698	5261	9792
699	5268	9783
700	5277	9779
701	5284	9770
702	5290	9761
703	5297	9752
704	5304	9743
705	5313	9739
706	5320	9730
707	5327	9721
708	5334	9713
709	5341	9704
710	5350	9700
711	5357	9691
712	5364	9682
713	5371	9674
714	5378	9665
715	5388	9662
716	5395	9654
717	5402	9645
718	5408	9636
719	5415	9628
720	5425	9624
721	5432	9615
722	5439	9607
723	5445	9597
724	5452	9589
725	5462	9585
726	5469	9576
727	5475	9567
728	5482	9558
729	5488	9549
730	5498	9545
731	5505	9537
732	5512	9528
733	5519	9519
734	5525	9510
735	5535	9506
736	5541	9497
737	5548	9487
738	5554	9478
739	5561	9469
740	5571	9465
741	5577	9456
742	5584	9447
743	5591	9439
744	5597	9430
745	5607	9426
746	5614	9417
747	5621	9408
748	5627	9399
749	5634	9390
750	5643	9386
751	5650	9377
752	5656	9368
753	5663	9359
754	5670	9350
755	5679	9346
756	5686	9337
757	5693	9328
758	5700	9320
759	5706	9311
760	5716	9307
761	5723	9298
762	5730	9290
763	5736	9281
764	5743	9272
765	5753	9268
766	5760	9259
767	5766	9250
768	5773	9241
769	5780	9233
770	5789	9228
771	5796	9219
772	5803	9211
773	5810	9203
774	5817	9194
775	5826	9190
776	5833	9182
777	5840	9173
778	5846	9164
779	5853	9155
780	5863	9151
781	5869	9142
782	5876	9133
783	5883	9124
784	5889	9115
785	5899	9111
786	5906	9102
787	5912	9094
788	5919	9085
789	5925	9076
790	5935	9072
791	5942	9063
792	5948	9054
793	5955	9045
794	5962	9037
795	5972	9033
796	5978	9024
797	5985	9015
798	5992	9007
799	5999	8998
800	6008	8994
801	6015	8985
802	6022	8977
803	6028	8967
804	6035	8959
805	6045	8955
806	6051	8946
807	6058	8937
808	6064	8928
809	6071	8919
810	6081	8915
811	6087	8906
812	6094	8898
813	6101	8889
814	6108	8881
815	6117	8876
816	6124	8868
817	6131	8859
818	6137	8850
819	6144	8842
820	6155	8839
821	6161	8830
822	6168	8821
823	6175	8813
824	6182	8805
825	6191	8800
826	6198	8792
827	6205	8783
828	6211	8774
829	6218	8765
830	6228	8761
831	6234	8752
832	6241	8743
833	6248	8735
834	6254	8726
835	6264	8722
836	6272	8715
837	6279	8707
838	6287	8700
839	6294	8692
840	6304	8687
841	6311	8679
842	6317	8671
843	6324	8662
844	6331	8653
845	6340	8649
846	6347	8640
847	6354	8631
848	6360	8623
849	6367	8615
850	6377	8610
851	6384	8602
852	6391	8593
853	6397	8585
854	6404	8576
855	6414	8572
856	6420	8563
857	6427	8554
858	6434	8546
859	6440	8537
860	6450	8533
861	6457	8524
862	6463	8515
863	6470	8507
864	6477	8499
865	6486	8494
866	6493	8485
867	6499	8476
868	6506	8468
869	6512	8459
870	6522	8454
871	6529	8446
872	6535	8437
873	6542	8428
874	6549	8420
875	6558	8415
876	6565	8406
877	6572	8398
878	6578	8389
879	6585	8381
880	6594	8376
881	6601	8368
882	6608	8359
883	6615	8351
884	6622	8343
885	6632	8339
886	6639	8331
887	6646	8323
888	6653	8314
889	6660	8306
890	6670	8302
891	6677	8293
892	6683	8285
893	6690	8277
894	6697	8268
895	6706	8263
896	6713	8255
897	6720	8247
898	6727	8239
899	6734	8230
900	6744	8226
901	6751	8218
902	6758	8209
903	6764	8201
904	6770	8192
905	6781	8188
906	6788	8180
907	6794	8171
908	6801	8163
909	6808	8155
910	6818	8151
911	6825	8142
912	6832	8134
913	6838	8125
914	6845	8117
915	6854	8112
916	6861	8103
917	6868	8095
918	6875	8087
919	6881	8078
920	6891	8073
921	6898	8065
922	6904	8057
923	6911	8048
924	6918	8039
925	6927	8034
926	6934	8026
927	6940	8017
928	6947	8009
929	6953	8000
930	6963	7995
931	6970	7987
932	6976	7978
933	6983	7970
934	6990	7962
935	6999	7956
936	7006	7948
937	7012	7939
938	7019	7931
939	7026	7923
940	7035	7917
941	7042	7909
942	7048	7900
943	7055	7892
944	7062	7884
945	7071	7879
946	7078	7870
947	7085	7862
948	7091	7854
949	7098	7846
950	7108	7841
951	7115	7833
952	7122	7824
953	7129	7816
954	7135	7808
955	7145	7803
956	7152	7795
957	7159	7787
958	7166	7779
959	7173	7771
960	7183	7766
961	7190	7758
962	7196	7749
963	7203	7741
964	7209	7732
965	7219	7727
966	7225	7718
967	7232	7710
968	7239	7702
969	7245	7693
970	7255	7689
971	7263	7681
972	7270	7673
973	7276	7665
974	7283	7657
975	7293	7651
976	7299	7643
977	7306	7635
978	7313	7626
979	7319	7618
980	7329	7613
981	7336	7604
982	7342	7596
983	7349	7588
984	7356	7580
985	7366	7575
986	7372	7566
987	7379	7558
988	7386	7551
989	7393	7542
990	7402	7537
991	7409	7529
992	7416	7520
993	7422	7512
994	7429	7504
995	7439	7498
996	7445	7490
997	7452	7482
998	7459	7474
999	7465	7465
1000	7475	7460
1001	7481	7451
1002	7488	7443
1003	7495	7435
1004	7502	7427
1005	7511	7422
1006	7518	7414
1007	7525	7406
1008	7531	7397
1009	7538	7389
1010	7547	7383
1011	7555	7376
1012	7562	7368
1013	7569	7360
1014	7576	7352
1015	7586	7347
1016	7592	7339
1017	7600	7331
1018	7606	7323
1019	7613	7314
